year_index,cumulative_adopters,new_installations,penetration_pct
0,500.0,500.0,1.0
1,2173.1,1673.1,4.3462
2,4397.795036564,2224.695036564,8.795590073128
3,7290.034730365835,2892.2396938018346,14.580069460731668
4,10937.647877582333,3647.613147216498,21.875295755164665
5,15356.62036242189,4418.972484839558,30.713240724843782
6,20439.161493207368,5082.541130785477,40.87832298641473
7,25917.897164484824,5478.735671277456,51.835794328969655
8,31383.956981995554,5466.05981751073,62.767913963991106
9,36382.70098125112,4998.743999255563,72.76540196250222
10,40556.51925143641,4173.818270185293,81.11303850287283
11,43750.583460618946,3194.0642091825357,87.5011669212379
12,46016.02466793674,2265.4412073177955,92.03204933587348
13,47528.826902289366,1512.8022343526245,95.05765380457873
14,48495.59697911148,966.7700768221112,96.99119395822295
15,49095.2016814614,599.6047023499268,98.19040336292281
