year,annual_net_cash_flow_usd,discounted_cash_flow_usd,cumulative_discounted_cash_flow_usd
1,222000.0,205555.55555555553,-394444.4444444445
2,222000.0,190329.21810699586,-204115.22633744864
3,222000.0,176230.75750647765,-27884.46883097099
4,222000.0,163176.6273208126,135292.15848984162
5,222000.0,151089.46974149314,286381.62823133473
6,222000.0,139897.65716804922,426279.285399384
7,222000.0,129534.86774819369,555814.1531475777
8,222000.0,119939.6923594386,675753.8455070163
9,222000.0,111055.2707031839,786809.1162102001
10,222000.0,102828.95435479988,889638.070565
11,222000.0,95211.99477296286,984850.0653379628
12,222000.0,88159.25441941005,1073009.3197573728
13,222000.0,81628.93927723152,1154638.2590346043
14,222000.0,75582.35118262177,1230220.610217226
15,222000.0,69983.65850242756,1300204.2687196536
16,222000.0,64799.68379854403,1365003.9525181977
17,222000.0,59999.707220874094,1425003.6597390717
18,222000.0,55555.28446377231,1480558.944202844
19,222000.0,51440.07820719658,1531999.0224100407
20,222000.0,47629.702043700534,1579628.7244537412
