power_kw,heat_source_temp_C,capex_usd,annual_revenue_usd,annual_opex_usd,annual_net_cash_usd,electricity_MWh,mentor_steam_value_usd_per_ton,npv_usd,payback_y,roi_pct,irr
200,90,772799.9999999999,138554.8,17735.399999999994,120819.4,1275.0,7.67,413422.678879578,6.396323769196006,212.67960662525886,0.14611927821404025
200,100,772799.9999999999,142840.0,17735.399999999994,125104.6,1275.0,7.67,455495.40414998017,6.177230893188579,223.76966873706004,0.15239708655880102
200,120,772799.9999999999,151410.4,17735.399999999994,133675.0,1275.0,7.67,539640.8546907833,5.781185711613988,245.94979296066256,0.16478962240597628
200,150,772799.9999999999,164266.0,17735.399999999994,146530.6,1275.0,7.67,665859.0305019886,5.273983727630951,279.2199792960663,0.18303475688007886
500,90,1932000.0,346387.0,44338.49999999999,302048.5,3187.5,7.67,1033556.6971989456,6.396323769196006,212.6796066252588,0.14611927821404025
500,100,1932000.0,357100.0,44338.49999999999,312761.5,3187.5,7.67,1138738.5103749498,6.17723089318858,223.76966873706004,0.15239708655880102
500,120,1932000.0,378526.0,44338.49999999999,334187.5,3187.5,7.67,1349102.1367269582,5.781185711613989,245.94979296066253,0.16478962240597628
500,150,1932000.0,410664.99999999994,44338.49999999999,366326.49999999994,3187.5,7.67,1664647.5762549704,5.273983727630953,279.2199792960662,0.18303475688007886
1000,90,3863999.999999999,692774.0,88676.99999999999,604097.0,6375.0,7.67,2067113.394397892,6.396323769196005,212.67960662525888,0.14611927821404025
1000,100,3863999.999999999,714200.0,88676.99999999999,625523.0,6375.0,7.67,2277477.0207499005,6.177230893188578,223.7696687370601,0.15239708655880102
1000,120,3863999.999999999,757052.0,88676.99999999999,668375.0,6375.0,7.67,2698204.2734539174,5.781185711613988,245.94979296066256,0.1647896224059765
1000,150,3863999.999999999,821329.9999999999,88676.99999999999,732652.9999999999,6375.0,7.67,3329295.1525099417,5.273983727630951,279.2199792960663,0.18303475688007886
2000,90,7727999.999999999,1385548.0,177353.99999999997,1208194.0,12750.0,7.67,4134226.788795783,6.396323769196006,212.67960662525886,0.14611927821404025
2000,100,7727999.999999999,1428400.0,177353.99999999997,1251046.0,12750.0,7.67,4554954.0414998,6.177230893188579,223.76966873706004,0.15239708655880102
2000,120,7727999.999999999,1514104.0,177353.99999999997,1336750.0,12750.0,7.67,5396408.546907834,5.781185711613989,245.94979296066256,0.16478962240597628
2000,150,7727999.999999999,1642659.9999999998,177353.99999999997,1465305.9999999998,12750.0,7.67,6658590.3050198825,5.273983727630952,279.21997929606624,0.18303475688007886
5000,90,19320000.0,3463870.0,443385.0,3020485.0,31875.0,7.67,10335566.971989457,6.396323769196006,212.6796066252588,0.14611927821404025
5000,100,19320000.0,3571000.0,443385.0,3127615.0,31875.0,7.67,11387385.103749499,6.17723089318858,223.76966873706004,0.15239708655880102
5000,120,19320000.0,3785260.0,443385.0,3341875.0,31875.0,7.67,13491021.36726958,5.781185711613989,245.94979296066253,0.16478962240597628
5000,150,19320000.0,4106649.999999999,443385.0,3663264.999999999,31875.0,7.67,16646475.762549698,5.273983727630953,279.2199792960662,0.18303475688007886
